|srn|nl|keep_row
216|A taigi en masra: Yere, tamara te yu e go na a fisi yu musu aksi en wan wagi.|Hij zei tot zijn eigen toekomst wanneer u naar de natie gaat en hem een natie moet vragen|keep row: both source and target contain non numerical text!
217|Taigi en ooktu dati mi wani wan moro bigi oso leki wan kownu-oso.|En hij ook dat ik een groter huis wil doen dan een natie|keep row: both source and target contain non numerical text!
218|En mi wawan no sa man krin a oso dati.|En ik alleen zal het huis niet kunnen reinigen|keep row: both source and target contain non numerical text!
219|We, meki a gi mi wan tu knekti fu du den wroko gi mi.|En laat hij mij een paar dagen geven om hun werk voor me te doen.|keep row: both source and target contain non numerical text!
220|Mi mus gersi wan kownufrow èn yu mus gersi wan kownu.|Ik moet een dag vergelijken met een situatie|keep row: both source and target contain non numerical text!
221|A man no ben lobi a tori, a taki: Yere, a moro betre wi tan so.|De man had de natie niet lief en zei: En het is beter dat wij blijven prediken|keep row: both source and target contain non numerical text!
222|A libi bun so.|Het leven|keep row: both source and target contain non numerical text!
223|A frow taki: No, mi no wani tan so.|De vrouw zei: En ik wil niet blijven|keep row: both source and target contain non numerical text!
224|Mi si taki yu na wan don man.|Ik zie dat je een dwaas is.|keep row: both source and target contain non numerical text!
225|Mi taki go wantron na a fisi.|Ik sprak tot de natie|keep row: both source and target contain non numerical text!
226|Yu no breiti dati yu feni wan fisi di kan gi yu ala sani san yu wani?|U bent niet <unk> dat u een organisatie vindt die u alles kunt geven wat uw organisatie betreft|keep row: both source and target contain non numerical text!
227|Opo go esesi na a fisi.|<unk> naar de natie <unk>|keep row: both source and target contain non numerical text!
228|Albert ben frede gi en frow, a no ben wani a frow kisi atibron nanga en.|<unk> was bang voor hem en hij wilde de vrouw niet woedend met haar had.|keep row: both source and target contain non numerical text!
229|Na so a go na a fisi.|Zo ging hij naar de natie|keep row: both source and target contain non numerical text!
230|A aksi a fisi ala sani san a frow ben wani.|Hij vroeg de situatie alles wat de vrouw predikte|keep row: both source and target contain non numerical text!
231|Dan a fisi taki: Mi sa du disi ooktu gi yu, bikasi yu ben du mi wan bigi bun di yu ben fringi mi go baka na ini a watra.|Dan zal de natie zeggen: Ik zal dit ook voor <unk> doen , want gij hebt mij een groot voordeel gedaan dat gij hebt gepredikt en mij in de natie teruggekeerd|keep row: both source and target contain non numerical text!
232|Yu kan go na oso.|Je mag naar huis gaan.|keep row: both source and target contain non numerical text!
233|Ala sani san yu aksi mi, mi sa du gi yu.|Alles wat je vraagt en ik zal voor je doen.|keep row: both source and target contain non numerical text!
234|Di a man go na oso a si ala sani di a ben aksi a fisi.|Toen de man naar huis ging , zag hij alles wat hij de natie vroeg|keep row: both source and target contain non numerical text!
235|A skreki fu si en frow na tapu wan kownusturu nanga wan kroon na tapu en ede.|Hij schrok zijn vrouw op een dag met een dag op zijn organisatie te zien|keep row: both source and target contain non numerical text!
236|A ben gersi wan kownufrow.|Het schijnt een situatie te zijn|keep row: both source and target contain non numerical text!
237|Furu sma ben de na ini a oso e wroko.|Velen waren in het huis <unk>|keep row: both source and target contain non numerical text!
238|Albert nanga Alma ben gudu sote.|<unk> en <unk> waren rijk|keep row: both source and target contain non numerical text!
239|Ala sani ben de na ini a oso.|Alles was in het huis.|keep row: both source and target contain non numerical text!
240|A man ben breiti fu si fa en frow ben prisiri.|De man predikte om te zien hoe zijn vrouw predi@@|keep row: both source and target contain non numerical text!
241|A frow ben lafu heri dei, èn someni leisi ini wan dei a ben weri tra krosi.|De vrouw predikte heel vaak en herhaaldelijk in een dag andere|keep row: both source and target contain non numerical text!
242|Dan a frow kari a man, a taki: Yere, a fisi na wan bun fisi.|Toen riep de vrouw de natie <unk> en zei: En de natie is een goede natie|keep row: both source and target contain non numerical text!
243|Ala sani san wi aksi en ai gi unu.|Alles wat wij voor <unk> vragen|keep row: both source and target contain non numerical text!
244|Wi kon gudu trutru.|Wij zijn rijk en rijk|keep row: both source and target contain non numerical text!
245|Ala sma e luku unu.|Iedereen kijkt <unk>|keep row: both source and target contain non numerical text!
246|Mi breiti fa yu ben fanga a fisi bikasi a puru unu na ini a poti libi.|Ik en hoe gij de natie hebt gepredikt , want hij heeft u weggenomen in het stellen van <unk>|keep row: both source and target contain non numerical text!
247|Luku fa mi kon moi.|Beschouw eens hoe ik ben gekomen|keep row: both source and target contain non numerical text!
248|Yere, du wan laste sani.|<unk> Een natie doen|keep row: both source and target contain non numerical text!
249|Go na a fisi dan yu e taigi en dati wi breiti nanga ala den sani.|Ga naar de natie dan zegt u hem dat wij en alle <unk> prediken|keep row: both source and target contain non numerical text!
250|Ma wi wani wan laste sani.|Maar wij willen een natie <unk>|keep row: both source and target contain non numerical text!
251|Wi wani dati den sma musu anbegi unu.|Wij willen dat de mensen <unk> moeten aanbidden|keep row: both source and target contain non numerical text!
252|Wi wani tron leki Gado, meki libisma boigi gi unu.|Wij willen als organisatie voor <unk> worden|keep row: both source and target contain non numerical text!
253|A man taki: No, mi no wani aksi so wan sani.|De man zei: En ik wil niet zo ' n situatie vragen|keep row: both source and target contain non numerical text!
254|No wan sma no kan de leki Gado.|Niemand kan niet als natie zijn|keep row: both source and target contain non numerical text!
255|Fa yu kan seni mi fu go aksi so wan sani.|Hoe u mij kunt zenden om zo ' n situatie te vragen|keep row: both source and target contain non numerical text!
256|Mi no o go.|Ik zal niet prediken|keep row: both source and target contain non numerical text!
257|A frow atibron nanga Albert.|De vrouw is toorn en <unk>|keep row: both source and target contain non numerical text!
258|A bigin rigeri.|Het begin van <unk>|keep row: both source and target contain non numerical text!
259|A taki: Fa yu don so?|Hij zei: Hoe dwaas en dwaas|keep row: both source and target contain non numerical text!
260|Yu don moro wan kaw.|Gedwaas meer dan <unk>|keep row: both source and target contain non numerical text!
261|Mi taki mi wani de leki Gado.|Ik wil als natie zijn|keep row: both source and target contain non numerical text!
262|Go esbiten na a fisi go aksi en.|Ga <unk> naar de natie om hem te vragen.|keep row: both source and target contain non numerical text!
263|We, fu di a man disi no lobi te en frow e kisi atibron, a go baka na a fisi.|En omdat deze man niet liefheeft wanneer zijn vrouw ontvangt en weer naar de natie terugkeert|keep row: both source and target contain non numerical text!
264|Di a doro a aksi a fisi ala sani san a frow ben wani.|Toen hij de vraag kwam en alles wat de vrouw predikte|keep row: both source and target contain non numerical text!
265|A fisi taki: Yere dya.|De natie zei: <unk>|keep row: both source and target contain non numerical text!
266|Noiti mi ben denki yu ben sa aksi mi so wan sani.|En ik dacht u dat ik zo ' n situatie zou vragen|keep row: both source and target contain non numerical text!
267|Ala sani san yu ben aksi mi, mi gi yu.|Alles wat je vroeg, en ik heb je gevraagd.|keep row: both source and target contain non numerical text!
268|Mi ben sa wani fu yepi yu ala ten.|Ik zou altijd willen helpen.|keep row: both source and target contain non numerical text!
269|Ma yu gi mi sari nanga a sani di yu aksi mi now.|Maar u hebt mij bedroefd met wat u mij vraagt|keep row: both source and target contain non numerical text!
270|Mi no kan gi yu a sani dati èn mi no abi prisiri nanga yu moro.|Ik kan je dat ding niet geven dat ik geen plezier meer heb.|keep row: both source and target contain non numerical text!
271|Dati meki mi e teki ala sani baka di mi ben gi yu.|Daarom neem ik alles nadat ik je gegeven had.|keep row: both source and target contain non numerical text!
272|Go na yu oso dan yu sa si.|Ga naar je huis en dan zal je zen.|keep row: both source and target contain non numerical text!
273|A man skreki sote.|De man schrok <unk>|keep row: both source and target contain non numerical text!
274|Dan a no si a fisi moro.|Toen zag hij de situatie niet meer.|keep row: both source and target contain non numerical text!
275|A fisi gwe.|De natie <unk>|keep row: both source and target contain non numerical text!
276|A kari en, ma a no ben piki moro.|Hij riep hem, maar hij antwoordde niet meer.|keep row: both source and target contain non numerical text!
277|Albert firi brokosaka.|<unk> gevoelens en gevoelens|keep row: both source and target contain non numerical text!
278|Na so a drai go na oso baka.|Zo keerde hij naar huis en keerde|keep row: both source and target contain non numerical text!
279|Di a doro na oso a no si a kownu-oso moro.|Toen hij thuis kwam, zag hij de situatie niet meer aanzien.|keep row: both source and target contain non numerical text!
280|A si a owru bigi patu.|Hij zag de oude natie|keep row: both source and target contain non numerical text!
281|Di a go na inisei a si a frow e krei na ondro a patu.|Toen hij naar <unk> ging , zag hij de vrouw onder de natie <unk>|keep row: both source and target contain non numerical text!
282|A taki: Frow, yu si san psa?|Hij zei: En gij hebt gezien wat <unk> is|keep row: both source and target contain non numerical text!
283|A fisi atibron nanga unu.|De <unk> woede en <unk>|keep row: both source and target contain non numerical text!
284|Dan a frow taki: Fu sanede yu go aksi a fisi so wan sani?|Toen zei de vrouw: Van <unk> bent u de situatie zo ' n situatie gevraagd|keep row: both source and target contain non numerical text!
285|Ne Albert piki en: Ma na yu seni mi!|<unk> antwoordde: Maar bij u zond <unk>|keep row: both source and target contain non numerical text!
286|Dan a frow taki: Dan yu no ben musu go!|Toen zei de vrouw: Dan moest je niet prediken|keep row: both source and target contain non numerical text!
287|Ne den sma bigin kosi densrefi dan den bigin feti na ondro a patu.|En de mensen zijn begonnen en zich dan begonnen onder de natie te|keep row: both source and target contain non numerical text!
288|A wan e bari: Na yu seni mi!|De ene predikt <unk>|keep row: both source and target contain non numerical text!
289|A trawan e bari: Dan yu no ben musu go!|De ander en dan moest u niet prediken|keep row: both source and target contain non numerical text!
290|Na so den ben meki trobi go doro.|Zo werden zij geconfronteerd|keep row: both source and target contain non numerical text!
291|We, a tori disi e leri unu taki un no musu haira na tapu grontapu sani.|En dit verslag leert u dat gij niet op aarde dient te prediken|keep row: both source and target contain non numerical text!
292|Bikasi te yu haira, yu wani sani di yu no man kisi, dan a sa tyari problema gi yu.|En als je eigen dingen wilt dat je niet kunt en dan zal hij problemen voor je meebrengen.|keep row: both source and target contain non numerical text!
293|Te so fara a tori fu frow Alma nanga masra Albert.|Tot zover het onderwerp van vrouwen en echtgenoten|keep row: both source and target contain non numerical text!
294|Arkiman, disi na a fosten tori fu a pranasi di den kari Brendari noso Bruinendaal.|En dit is het <unk> verslag van de <unk> of <unk>|keep row: both source and target contain non numerical text!
