|nl|srn
3511|Draag de zorgen van deze tijd niet op je hoofd.|No weri den sorgu fu disi ten na yu ede.
3941|Ook al heb je de tijd niet om je tanden te poetsen, kan je je mond spoelen.|Awinsi yu no abi ten fu wasi yu mofo, yu kan tyukutyuku en.
1659|Sinds ik een beroerte heb gehad, is mijn hand verlamd.|Sensi di mi kisi a berurte, a anu fu mi dede.
3551|Hij was twee dagen lang boos omdat de vrouw antruwa voor hem gekookt had.|Tu dei langa a span fu di a frow bori antruwa gi en.
2256|Haal dat strijkijzer voor me zodat ik mijn broek kan strijken.|Teki a isri gi mi, meki mi triki mi bruku.
912|Waar moet ik gaan?|Pe mi sa go?
3155|Men moet zijn rechten kennen, maar ook zijn plichten.|Wan sma mus sabi en leti, ma a mus sabi en prekti tu.
752|Wij blijven hier op de rivier wonen.|Wi e tan libi na tapu a liba.
1752|Er mag geen vuile taal uit je mond komen.|Dot'taki no mus kmoto ini yu mofo.
3100|Men klaagt elke dag dat het brood steeds kleiner wordt.|Ala dei den sma e kragi taki a brede kon pikin.
2429|Als je hem vleit, krijg je uit hem wat je wil.|Efu yu kor'kori en, yu o kisi san yu wani.
4086|We hebben de hele dag gevist, maar zijn onverrichter zake teruggekeerd.|Un fisi heri dei ma noti no yagi.
2594|Zonder een kapitein komt het schip nooit aan wal.|Wan boto sondro kapten no abi lanpresi.
4019|De rook heeft mijn ogen doen tranen.|A smoko meki mi ai lon watra.
3405|Toen ik de steen zag aankomen, dook ik en het scheerde rakelings langs mijn hoofd voorbij.|Di mi si a ston e kon, mi dòk, dan a skefti psa mi ede.
1745|De boom ziet er magertjes uit. Je moet er wat aarde voor zetten.|A bon mangri mangri. Yu mus krabu doti poti gi en.
1055|De tijger zei: Ja hoor, dat is een goede raad.|Tigri taki: Ai, dati na wan bun rai.
729|Hij zei: Zeker, mijnheer.|A taki: Ya, mi granmasra.
2240|Ik hoop dat ik morgen kan komen.|Mi e howpu taki mi kan kon tamara.
1321|Ondanks dat ik dat meisje gewaarschuwd heb, gaat ze toch met die jongen om.|Awinsi fa mi bari a meisye, toku a teki waka nanga a boi.
721|Hij nam een boot, en hij wikkelde de dode vrouw in.|A teki wan boto, a domru a dede wefi.
1924|Sommigen wouden een eind brengen aan de zaak, maar anderen hitsten de mensen op om door te staken.|Sonwan fu den sma ben wani kiri a tori, ma trawan ben e sutu faya gi den sma fu staak go doro.
1778|Hoe kan die man zo brutaal zijn, om een Amerikaan aan te kijken en hem te vragen wat hij over de oorlog in Irak denkt.|Fa a man kan abi drei-ai so, fu luku wan Amerkan dan a aksi en san feni fu a feti na Irak.
1940|Iedereen wilde weggaan, maar Norbert was vol ijver om het werk vandaag af te maken.|Ala sma ben wani gwe, ma Norbert ben de fayafaya fu klari a wroko tide.
3766|Alle banken sluiten om twee uur.|Ala den bangi e tapu tu yuru.
3422|Schuif de kast op naar de hoek.|Skoifi a kasi go ini a uku.
2715|De drie broers hebben zich tegen de man samengespannen.|Den dri brada lontu a man fon.
1657|Weet je wie de dood naar de stad heeft gebracht? Dat is Anansi.|Yu sabi suma tyari Dede kon na foto? Na Anansi.
346|Haar zuster woonde er.|En sisa ben e libi dape.
2285|Deze winkel heeft van alles: koelkasten, wasmachines, noem maar op.|A wenkri disi abi ala sani: ijskasi, wasmachine, kar'kon.
2866|Vandaag draag je een mooi hemd.|Tide yu e weri wan moi empi.
3732|Ze hebben gezegd dat ze om twee uur zullen komen.|Den taki dat den o kon tu yuru.
1623|Ik was zo blij toen mijn zoon gezond en wel weer thuis kwam.|Mi ben breiti sote di a boi fu mi kon bunbun baka na oso.
3407|De aap schepte op dat hij de tijger kon bereiden wanner hij wou.|Monki skepi taki a e rei Tigri fa mi wani.
1788|Er was eten en drinken in overvloed.|Nyanyan nanga dringi ben de fu naki dagu.
2447|De doktor heeft de vrouw geopereerd.|A datra koti a frow.
3574|De dokter spoot hem het medicament in voor een sneller effect.|Datra spoiti a dresi fu a wroko moro esi.
4113|Ik heb een uur lang moeten wachten.|Mi ben abi fu wakti wan heri yuru langa.
2525|Overal vind je ongerechtigheid.|Ala sei yu e feni kruktufasi.
1815|Nu zit ik in een moeilijke situatie. Daarom kan ik je met geen enkel geldsbedrag helpen.|Nownow mi de ini wan dyam. Dat meki mi no man yepi yu nanga no wan moni.
178|Als je de politie niet begrijpt, zeg dit dan.|Efu yu no e ferstan noso yu no e grabu san den skowtu e taki, yu mus' meki den sabi, yu mus' fu taigi den.
2459|Laat het bier koud worden.|Kowru a biri.
3309|De koorts vermindert.|A korsu e saka.
787|Hij trouwde met een andere vrouw.|A trow nanga wan tra frow.
3085|Geef me die pen zodat ik het kan opschrijven.|Langa a pen gi mi, meki mi skrifi a sani.
2269|Als het mogelijk is, wil ik je vragen om voor me op het kind te letten.|Efu a kan, dan mi wani aksi yu fu luku a pikin gi mi.
1431|Hij maakte het brood open om te zien wat erin zat.|A opo a brede fu si san de ini en bere.
2828|Wanneer we elkaar weer zien kunnen we verder over deze zaak praten.|Tra leisi te wi miti baka dan wi kan taki a tori moro fara.
2921|Je moet de kleren vochtig maken voordat je ze kan strijken.|Yu mu nat'nati den krosi fosi yu kan triki den.
25|Die advocaat kan informatie en advies geven aan uw Nederlandse advocaat over de overleveringsprocedure.|A afkati disi kan gi yu afkati fu Holand enforma nanga rai abra a waka fu lever yu uit.
4058|Hoor je niet? Pak de zweep voor me!|I n'e yere? Kis' a wipi gi mi!
2259|Toen hij me vroeg of ik zou komen, zei ik: ja.|Di a aksi mi efu mi bo kon, mi taki: Ija.
3473|Je moet je wagen naar de maak brengen. Hij laat veel rook uit.|Yu mu tyari a wagi fu yu go meki. A e smoko.
173|Als je dit nodig hebt, krijg je hulp van een tolk tijdens dit gesprek.|A afkati e ferteri yu fa wan verhoor e go, sobun te skowtu e taki nanga yu, aksi yu sani.
1001|Zoals we weten is de tijger een groot beest.|Yu sabi taki Tigri na wan bigi meti.
3504|Ik heb je het allang gezegt, maar je wilde niet luisteren.|Mi taigi yu someni langa kba, ma yu no ben wani arki.
331|Het verhaal dat ik ga vertellen gaat over een uitstapje naar Livorno, een uitstapje dat ik met mijn zuster had gemaakt.|A tori san mi e go ferteri now na di mi ben go na Livorno nanga mi sisa.
3889|Deze man is naar Jamaica, Trinidad en nog andere landen in de regio gegaan.|A man disi go na Yamaica, Trinidad nanga tratra kondre ini a kontren.
430|Ik kon ook niet schreeuwen omdat mijn hals vast zat.|Èn mi no man bari, bika mi neki fasi ini a kraka.
2430|Men paaide het kind met een snoep toen de moeder wegging.|Den kor'kori a pikin nanga wan sukrusani di en m'ma gwe.
2099|Morgenochtend ga ik vroeg naar de markt.|Tamara mamanten mi o go fruku na wowoyo.
1073|Ook al is de deur op slot, het raam staat open, je kan dus vluchten.|Alwas' a doro sroto a fensre opo yo kan lon
4092|Vorig jaar gaf de chinese winkelier mij een fles whisky als oudjaars kado.|A yari di psa omu sneisi gi mi wan batra sopi leki yari.
479|Wanneer directeuren aan wal gingen, gingen de tentboten een andere aan de kant.|Te den driktoro doro na syoro, den tentiboto e go na wan sei.
3979|Het enige dat ik wil zeggen is ...|A wan sani san mi wani taigi yu ...
1592|Als je beerput vol is, moet je een fecaliebedrijf opbellen.|Efu yu w.c. furu dan yu mu bèl bronbere.
838|Mijn vrouw en ik kunnen de buikriem aanhalen, maar de kinderen moeten te eten krijgen.|Libi mi nanga Akuba, un kan tai un bere, ma den pikin mu si den nyanyan.
1891|De mannen hebben de grote kapokboom geveld.|Den man fala a bigi kankantri bon.
1146|Toen begon hij luid te huilen.|Dan a opo en sten, a bigin bari.
2984|hoe laat is it?|Olati un de?
3888|Ik weet niet wie in mijn huis komt als ik er niet ben, maar ik zal een val voor hem opzetten.|Mi no sabi suma e kon ini mi oso te mi no de, ma mi o seti wan trapu gi en.
2825|Mevrouw, kun u uw voeten even verschuiven zodat ik langs kan gaan?|Misi, skoifi yu futu pikinso meki mi psa.
1921|Waar er rook is, daar is vuur.|Pe smoko de, faya de.
324|Als kind kon 't je niet schelen dat je te grote schoenen aan had of dat je erom uitgelachen werd.|Ma yu na pikinnengre, yu no abi trobi taki sma e go lafu yu taki yu weri wan bigi susu.
1356|Michael wou geen feest op zijn jaardag, maar stiekem hebben we alles in elkaar gezet om het met hem te vieren.|Michael no ben wani hori frijari-oso, ma bakabaka un seti ala sani fu meki prisiri nanga en.
1395|De mens wikt, maar God beschikt.|Libisma e meki en barki, ma Gado e bow en sipi.
468|En omdat iedere plantage zijn eigen kleding had|èn ibri pranasi ben abi en eigi krosi di at weri.
561|U weet wat verlamd zijn betekent?|Yu sabi san wani taki yu lan?
1880|Ik weet niet hoe je boyo maakt.|Mi no sabi fa yu e meki boyo.
3687|De pom is te zoet. Je moet wat meer zuur bijzetten.|A pom sukru tumsi. I mus swa en pikinso moro.
3489|Ze speelden voor veel geld, soms ook voor een slaaf.|Den ben prei fu hebi moni. Sobun den ben prei fu wan srafu.
3015|Sta op!|Opo!
1074|Dat is een een raar liedje dat Anansi zingt, hoor.|Dati wan lawlaw singi Anansi e singi, yèrè.
3718|Voor wie maak je zo'n schouwspel?|Gi suma yu e meki syow?
1237|Ma, kunt u voor me opletten dat die kinderen niet op straat gaan?|Mama, i kan iti wan ai tapu den pikin gi mi fu den no go na strati?
61|Ook niet met de opsporingsambtenaar.|A no mag taki owktu nanga a lantiman san abi a verantwortu fu suku sma.
1022|Hij ging naar zijn vriend Anansi en vroeg om raad.|Tigri go na en mati Anansi, go teki rai.
3189|Ik heb de hele nacht liggen peinzen wat de man met het spreekwoord bedoelde.|Heri neti mi didon prakseri go prakseri kon san a man ben wani taki nanga a odo san a koti.
3210|De kinderen spelen achter op het erf.|Den pikin e prei na bakadyari.
254|Samen met Henk Tjon bedacht hij het Alakondre Dron Ensemble: het samenspelen van drummers uit de verschillende culturen van Suriname.|Makandra nanga Henk Tyon a opo a poku-òrga Alakondre Dron, pe dronman fu den difrenti kulturu fu Sranan e prey makandra.
2794|Sinds ik de klok hebt gerepareerd, is het nooit meer stil gebleven.|Sensi mi meki a oloisi, noiti moro a tan tiri.
1173|Dat is een gekke naam.|Na wan lawlaw nen.
1138|'s Middags begon Anansi te huilen.|Brekten yuru, Anansi bigin kreikrei.
3316|Jij bent geen God dat ik voor je moet neerknielen!|Yu a no Gado tak' mi mu saka kindi gi yu!
1116|Als je hem niet kunt tillen, dan sleep je hem maar.|Efu yu no man tyari en, yu e srepi en kon.
2661|Alles wat in het duister is zal openbaar worden.|Ala sani san de na dungru sa kon na leti.
1457|Denk je dat je ouder ben dan ik?|I denki taki yu bigi moro mi?
67|Daar beslist de officier van justitie of de rechter-commissaris of u langer wordt vastgehouden.|Drape a bigiman fu skowtu noso a krutuman-komsari o teki a bosroiti efu skowtu o hori yu moro langa.
1740|Auto's worden hier niet gemaakt. Ze moeten uit het buitenland gehaald worden.|Oto no e meki dya. Den mu tyari den kmopo fu dorosei.
2582|Tegenwoordig moet je lang wachten om een bus te vinden.|Nownowde yu e wakti langa fu feni wan bus.
221|Eugène Albert Gessel slaagde in 1938 van de Graaf von Zinzendorfmulo en maakte daarna carrière bij het onderwijs van de Evangelische Broedergemeente Suriname|Eugène Albert Gessel teki en papira na Graaf von Zinzendorf muloskoro na ini 1938 , dan a bigin wroko na EBGS onderwijs.
2903|Ik ga naar mijn moeders huis.|Mi e go na mi mama oso.
2499|Je bent nog goed bij je hoofd.|Yu ede krin ete.
2861|Waarschuw de kinderen dat ze niet te dichtbij de rivier spelen.|Bari den pikin fu den no prei na a mofo liba.
1350|Als je geen moeite maakt, zal je achter blijven.|Efu yu no meki muiti, yu o tan na baka.
2488|Ik zal alle zaken voor jullie regelen. Dan zullen jullie zelf geen enkele bezorgdheid hebben.|Mi o seti ala un tori gi unu, dan un srefi no o abi no wan enkri krasi-ede.
88|Je bent als verdachte aangehouden en meegenomen naar het politiebureau of je bent uitgenodigd om verhoord te worden.|Fu di wi denki taki na yu du a kruktu sani, un brey yu tyari yu kon na skowtu-oso, noso un kari yu kon fu di un wani aksi yu sani.
3813|Het eten heeft een lekkere smaak vandaag.|A nyanyan abi wan switi tesi tide.
1263|Buurvrouw bracht mij een bouquet van verschillende bloemsoorten op mijn jaardag.|Birfrow tyari wan alakondre boketi gi mi tapu mi frijaridei.
1793|Wel, ze heeft me niet eens een druppel water gegeven.|Baya, a no gi mi no wan dropu watra srefi!
2936|A: Kom je morgen? B: Nee, ik kom niet.|A: Yu o kon tamara? B: No, mi no o kon.
1027|Hij heeft een hoge opleiding afgerond.|A kisi wan bun bigi papira.
3362|De vissers zijn al naar de zee gevaren.|Den fisiman go na sekanti kba.
1498|Ik kende de grootmoeder van mijn buurvrouw heel goed. Ze deed zwaar aan afgoderij.|Mi ben sabi a granmama fu mi birfrow, a ben du hebi bonuwroko.
3442|Laat dat kind niet schrikken. Het is niet goed.|No skreki a pikin. A no bun.
3318|Als je de melk van de kokosnoot uitgeperst hebt, kun je de pulp weggooien.|Te yu kwinsi a merki fu wan kronto, dan yu kan trowe a sakasaka gwe.
436|Toen ze zo schreeuwde kwamen er van alle kanten mensen naar buiten.|Dan di a frow bari so, sma lon kon.
3571|Wanneer de jongens watermeloen eten, houden ze ervan om te zien wie de pitten verder kan uitspugen.|Te den boi e nyan watramun, den lobi luku suma man spiti den siri moro fara.
3738|Je hoeft niet te herhalen wat ik gezegd heb.|I no abi fu taki baka san mi taki.
2328|Fred verborg zijn geld achter de ijskast in een tomatenblikje.|Fred kibri en moni ini wan tomati blik baka a ijskasi.
1818|De benzine die ik gisteren gekocht heb was vuil. Dat laat de wagen stikken.|A oli di mi bai esde ben doti. Dat meki a wagi dyam.
3999|Het is koud buiten. Kom laat me binnen gaan zitten om me te verwarmen.|A kowru na dorosei. Kon meki mi sidon na inisei fu teki pikin waran.
3954|De vlieger waait weg.|A frigi wadya.
3576|Toen ik naar de dokter ben geweest, heeft hij me twee injecties gegeven.|Di mi go na datra, a naki mi tu spoiti.
1226|Toen Jezus de mensen onderwees, deed hij dat met gelijkenissen.|Di Yesus leri den sma, a leri den nanga agersitori.
1621|Door Gods genade ben ik zo ver gekomen.|Na a bun-ati fu Masra tyari mi kon dya.
4102|Ik heb niet geluisterd naar de radioboodschap.|Mi no poti yesi na a boskopu san bari na a radio.
3403|Als je met vuile lepels in de fles gaat, zal de zuurgoed schiften.|Efu yu go nanga doti spun ini a batra, a swasani o skefti.
3674|Toen de boot omkantelde, zijn vijf mensen verdronken.|Di a boto drai tapu, feifi sma sungu.
1501|Ik heb niet genoeg geld om de fiets te kopen; ik zal hem op rekening kopen.|Mi no abi nofo moni fu bai a baisigri; mi o borgu en.
283|Vroeger was het zo dat wanneer de mensen thuis een koek wilden bakken, men het deeg in de vorm deed en hem dan naar de bakkerij bracht om gebakken te worden.|Fosten a ben de so, te den sma ben e meki kuku dan te a kuku meki, yu e go losi en na bakri-oso.
712|Dag en nacht huilde hij.|Heri dei, heri neti ai krei.
274|Daarnaast leverde hij hout aan de Suralco-aluminiumsmelter.|Seybere a ben e seri udu gi a smèltri fu Suralco di e meki aluminium.
2359|Ik was de straatnaam vergeten, maar na een poosje schoot het me te binnen dat het de Gravenstaat was.|Mi ben fergiti fa a strati nen, ma baka wan pis'ten mi kisi misrefi tak' na Grafustrati.
621|Nu, u en ik, we zijn geen God.|We, mi nanga yu, wi a no Gado.
2728|Maak de hangmat voor me los.|Lusu a amaka gi mi.
1672|Gisteren heb ik mijn enkel verstuikt, daarom is hij vandaag gezollen.|Esde mi drai mi futu, dat' meki a deki tide.
1720|Ik heb een nieuwe wagen gekocht maar ik heb mijn eerste ritje nog niet gemaakt.|Mi bai wan nyun wagi ma mi no dopu en ete.
1717|Nadat je gedoopt bent krijg je een bewijs van de kerk om aan te tonen dat je door hun gedoopt bent.|Te yu dopu dan yu e kisi wan papira fu kerki di sori tak' na den dopu yu.
2575|Zet een patroon in het geweer en maak het schietklaar.|Poti a lai dan yu span a gon.
1174|Nee, zo heet ik niet.|No, mi no nen so.
1451|Liever brood zonder toespijs eten dan mensen om geld vragen.|Betre mi nyan soso brede prefu mi begi sma moni.
423|Aan een tak zaten een heleboel rijpe kasjoema's.|Na wan taki yu ben abi someni lepi kasyuma.
3103|Ze krijgt kinderen als een konijn.|A e meki pikin leki alata.
3315|Als je tot iemand praat moet je je ogen niet neerslaan.|Te yu e taki nanga wan sma, yu no mu saka yu ai.
2024|Hij schrok zodanig dat hij flauwviel.|A skreki taki a fadon flaw.
506|Maar hij weigerde en zei: Ik drink alleen bronwater.|A taki: No, mi e dringi soso pet'watra.
1417|Als je bij de grote winkel aangekomen bent, dan sla je in die straat af.|Te yu doro pe a bigi wenkri de, dan yu e beni go ini a pasi dati.
1411|Op mijn verjaardag belde mijn hele familie me vanuit Nederland.|Tapu mi frijari dei ala mi famiri bèl kmopo fu Nederland.
3700|Ik krijg het gezwollen been niet in de schoen.|Mi no man poti a sweri futu ini a susu.
2758|Hij heeft een letsel aan zijn hand.|A abi wan mankeri na en anu.
3925|De jongen bezorgt me hoofdpijn. Hij blaast de hele dag op de trompet.|A boi e weri mi ede. Heri dei a e bro a tutu.
839|Vriend Kakkerlak zei: Ja, dat is waar.|Mati Kakalaka taki: Ai, dati tru.
